seed,ori_res,mag_res,ang_res,runtime,num_nodes,num_targets,total_delta_ang,total_len,smoothness,work
3,15,0.5,0.5,193.32052898406982,6633,952,26.304000000000002,18.24554542831827,1.4416669593869464,10.88034538217989
3,30,0.5,0.5,81.58254957199097,5079,752,13.1648,13.712964611135401,0.9600258130404367,6.88801756235962
3,45,1.0,1.0,23.870776414871216,5854,925,13.164800000000001,13.536504958179446,0.9725405516913107,6.9633629429890425
3,60,1.0,1.0,13.419477939605713,4311,896,14.9312,14.479030241077457,1.0312292847928257,8.182771067746202
3,90,2.0,2.0,14.19796633720398,9236,2234,16.8896,14.688305657127598,1.1498671388148987,7.844969124715804
3,180,2.0,2.0,30.83482027053833,21820,6810,29.18400000000001,19.277959769227873,1.5138531436601756,12.541823172816827
4,15,0.5,0.5,46.70134377479553,2474,285,15.529600000000002,13.383037001166745,1.1603943109957866,8.155930913257537
4,30,0.5,0.5,94.98786044120789,6152,1172,21.228800000000007,17.206930025407438,1.2337354756864791,10.105858744731401
4,45,1.0,1.0,4.435115098953247,1362,224,19.244800000000012,15.309657114784823,1.2570366439764968,9.313593744536973
4,60,1.0,1.0,3.5656871795654297,1406,205,12.608,13.577865042067657,0.9285701368320595,6.648861503092398
4,90,2.0,2.0,6.469567537307739,4841,960,12.320000000000002,11.026487991926825,1.1173095194970726,6.633896258533037
4,180,2.0,2.0,15.84769892692566,10715,3806,20.81920000000001,15.249883367049303,1.3652038837873626,8.418343894983558
5,15,0.5,0.5,101.8392014503479,4227,629,10.931199999999999,12.396617527286477,0.881788921529529,7.048294289149322
5,30,0.5,0.5,53.98918700218201,3765,478,14.505599999999998,13.393323984416988,1.0830470476841398,8.548554969604599
5,45,1.0,1.0,7.086201190948486,2162,365,12.044799999999999,11.933313064436565,1.0093424965021396,7.022576414887676
5,60,1.0,1.0,16.87355661392212,4781,797,26.624000000000002,19.076620619575593,1.3956350304875078,11.95354883396336
5,90,2.0,2.0,9.395081758499146,7031,1526,14.451200000000007,14.118961400948674,1.023531376679662,7.127191489974679
5,180,2.0,2.0,25.55514121055603,18101,5964,17.190400000000004,15.12691157948523,1.1364117460244316,11.463344154572228
6,15,0.5,0.5,63.59990334510803,3156,381,12.972800000000001,12.03731050118549,1.0777158235406805,7.15586926065718
6,30,0.5,0.5,83.03673911094666,5848,813,18.29120000000001,13.694955596422052,1.3356158675519019,8.261929581060123
6,45,1.0,1.0,28.10528826713562,6769,1171,13.5616,11.963587717812548,1.1335729983245892,6.836479696910525
6,60,1.0,1.0,8.613605976104736,2829,371,11.360000000000003,11.602330496678103,0.9791136361140994,5.359272509019241
6,90,2.0,2.0,7.89564847946167,5462,1109,14.592000000000004,11.916466325567985,1.224524083007006,8.005569799254786
6,180,2.0,2.0,13.280978202819824,9922,3196,24.7808,14.890851635184955,1.6641627092332658,10.801953348418824
7,15,0.5,0.5,49.44099807739258,2429,449,12.297600000000003,11.46278440406028,1.0728283431418304,7.921259640381173
7,30,0.5,0.5,142.1748185157776,9655,1583,14.735999999999997,14.37561394999526,1.025069263216049,9.682569164788394
7,45,1.0,1.0,19.613216161727905,5354,857,14.022400000000001,13.930604211370568,1.0065895051812976,7.736362346126953
7,60,1.0,1.0,25.975064516067505,7237,1326,16.1088,14.158103382353207,1.1377795150216348,7.919018685648998
7,90,2.0,2.0,2.358405828475952,2351,399,12.774400000000002,12.416154902659121,1.0288531433563346,7.606612300324116
7,180,2.0,2.0,9.560542106628418,8320,2318,25.97760000000001,18.229065435723278,1.4250648280131806,12.134715667846436
8,15,0.5,0.5,161.43198370933533,7404,1130,15.523200000000008,13.709304956731401,1.1323112330634943,9.041165843622863
8,30,0.5,0.5,89.49341225624084,6514,941,18.56000000000001,13.95765701814926,1.3297360707363912,8.749061358685953
8,45,1.0,1.0,17.997877836227417,4439,1232,20.3072,19.121052615429527,1.0620335819594642,11.878162141263447
8,60,1.0,1.0,21.649393558502197,6029,922,17.420800000000007,13.635663923785703,1.2775908894037502,8.242524969542236
8,90,2.0,2.0,4.0187437534332275,3418,601,17.1968,16.396326106428337,1.0488203203800532,9.834437204372566
8,180,2.0,2.0,18.8919575214386,13012,4471,17.33760000000001,14.657773715683724,1.182826282919683,9.549297240610684
9,15,0.5,0.5,55.33678460121155,2338,291,15.612800000000004,14.76707159219989,1.0572712336714636,7.308444374490476
9,30,0.5,0.5,133.98511338233948,8492,1458,13.673600000000004,14.007059214002522,0.9761934886611198,6.58715041209582
9,45,1.0,1.0,19.47288155555725,4725,750,14.3488,15.83134972032866,0.9063535487170148,7.885866358685314
9,60,1.0,1.0,27.952028036117554,7245,1251,19.9488,14.403654961042518,1.3849818017687456,8.685118459972397
9,90,2.0,2.0,5.6703550815582275,3973,1251,11.014399999999998,12.90903299637564,0.8532319967802715,6.606497557432723
9,180,2.0,2.0,21.073304176330566,15655,5117,25.60000000000001,19.620719564036747,1.3047431780699223,9.546178916966428
