seed,ori_res,runtime,num_nodes,total_delta_ang,total_len,smoothness,work
5,30,13.041516780853271,6398,11.222400000000007,14.507742929829583,0.7735455511088128,6.022698785115676
5,36,10.40683650970459,5470,11.588799999999992,13.261248107286306,0.8738845624668315,7.074935205548046
5,45,6.237592458724976,3947,9.531200000000002,14.14689309880105,0.6737309692972637,8.17604352946486
5,60,4.715402126312256,3039,11.907200000000005,16.3955282565301,0.7262468042319735,7.728657690285395
5,90,6.652927398681641,4105,14.382400000000004,19.938180532335643,0.7213496726381176,7.986544072520244
5,120,9.486960172653198,5882,7.816000000000004,13.07680505786636,0.5976995118771985,5.576303657804928
5,180,38.671761989593506,19936,9.028800000000004,14.827146157913289,0.6089371416347245,5.021689730821063
6,15,6.448326110839844,2199,7.508800000000004,10.416711840931423,0.7208416739047084,2.589497945500394
6,30,11.881426811218262,5372,11.142400000000007,12.543917766587429,0.8882711292702691,5.481861191703308
6,36,12.581401348114014,6432,14.632000000000007,16.405816625306745,0.8918787972693452,7.760083397986655
6,45,12.25186538696289,6316,10.619200000000003,13.268817261070717,0.8003124763166038,5.920430087257032
6,60,9.416505336761475,5488,10.171200000000006,12.541005631983918,0.8110354383431513,4.965262947037317
6,90,15.411653518676758,8074,11.187200000000006,14.207055245734797,0.7874397478223784,4.853271065999963
6,120,6.445223093032837,3945,7.833600000000001,13.466571451797682,0.5817070832052263,5.526209626051141
6,180,15.931445598602295,10463,15.377600000000008,13.70462952389992,1.122073382077388,6.960239263962853
7,15,10.078707695007324,3053,15.880000000000011,18.426973023484848,0.8617801729975528,10.162657252583172
7,30,6.141539573669434,2374,11.78400000000001,14.700656868098577,0.8015968337831277,5.556324592859059
7,36,7.486006498336792,4033,10.440000000000007,13.904949542376409,0.750811785989104,5.613011125670445
7,45,11.437783479690552,6310,15.046400000000006,15.309898578933797,0.9827890055851604,6.815788356308569
7,60,13.653086185455322,8321,9.635200000000005,13.55241954098597,0.7109579194224843,5.356545602290057
7,90,27.17464828491211,12198,8.993600000000006,12.266257100103473,0.7331983934956116,4.821833651943988
7,120,6.056734561920166,3777,11.318400000000004,15.295011452043633,0.7400059840091001,6.222391419194052
7,180,50.309685468673706,29114,14.715200000000006,13.559557046308427,1.085227190663002,6.966591588867059
8,15,18.24030566215515,4499,13.572800000000008,16.935003179236972,0.8014642723327524,6.74432406419652
8,30,5.082978248596191,2443,12.368000000000002,18.083449555497342,0.6839403047545288,9.18046924395067
8,36,9.526567935943604,5018,12.481600000000004,14.671906516078288,0.8507142535513006,6.859750491207327
8,45,14.676816463470459,7753,15.911999999999999,18.72521152000838,0.8497634316705908,10.018327351843372
8,60,7.50836443901062,4360,8.827200000000005,12.333941989783245,0.7156835995590031,4.493473618698356
8,90,7.946345806121826,4519,14.033600000000009,18.217822974160377,0.7703225582938671,7.82810118374052
8,120,5.792359352111816,3918,12.190400000000007,17.95204753850851,0.6790534602724659,9.190665817083316
8,180,17.000980615615845,10193,12.347200000000008,14.12371240590996,0.8742177442549324,7.466813875247331
9,15,19.31528401374817,6152,12.121600000000004,14.12820212177821,0.8579718704133565,6.289064928605205
9,30,8.847977876663208,4157,11.267200000000004,15.32133705460066,0.7353927375820449,7.136432398136769
9,36,12.546626567840576,6141,12.472000000000005,17.00647124014627,0.7333678941318538,8.18698447654461
9,45,14.432402610778809,7304,7.542400000000002,10.941315007601354,0.6893504112403314,4.561378981467344
9,60,5.831984758377075,3409,10.20800000000001,14.094821926311978,0.7242375996921172,5.401480998390287
9,90,13.521491289138794,7669,11.203200000000006,13.876054254423973,0.8073764915143794,6.005968395952431
9,120,14.013019800186157,7927,14.868800000000007,17.31200480978397,0.8588722197903287,7.937297060569808
9,180,7.115462303161621,4181,14.25600000000001,16.608885232306548,0.8583357522556749,5.920227936721368
