seed,ori_res,mag_res,ang_res,runtime,num_nodes,num_targets,total_delta_ang,total_len,smoothness,work
6,60,1.0,1.0,12.45323634147644,5480,867,13.528000000000004,14.892504370214422,0.9083764331173554,6.184659776116819
6,90,2.0,2.0,7.462590456008911,4816,870,10.78720000000001,13.429175519162987,0.8032659923617078,4.942184380680885
6,180,2.0,2.0,7.959611892700195,9014,2035,54.328,14.29075493907759,3.8016186150839313,35.943367760940234
7,15,0.5,0.5,7.750591993331909,559,34,9.662400000000005,13.835275779728196,0.6983886807776976,4.41113742899528
7,30,0.5,0.5,33.35384726524353,3492,345,9.136000000000006,13.937148107533087,0.6555143082006828,5.2731056604201685
7,45,1.0,1.0,10.380207777023315,3638,399,9.216000000000008,13.290718833026599,0.6934162189255579,5.399518794007122
7,60,1.0,1.0,12.90290641784668,5321,746,10.310400000000007,13.373980503128777,0.7709297914400234,5.608774257833696
7,90,2.0,2.0,7.329282522201538,6286,1154,9.644800000000004,11.748327075659601,0.8209509267053244,4.739850099717026
7,180,2.0,2.0,3.9317731857299805,4437,940,8.678400000000007,9.75623237525678,0.8895237081488228,4.2566723333176855
8,15,0.5,0.5,42.93953776359558,3094,394,13.190400000000004,14.98569718256895,0.8801992886485657,6.7301953044776415
8,30,0.5,0.5,39.459051847457886,4106,574,14.478400000000006,17.026757537127054,0.850332188523251,7.999822860508107
8,45,1.0,1.0,4.834818363189697,2215,258,9.459200000000004,14.017143397598867,0.6748307933855028,6.0363215814583
8,60,1.0,1.0,150.84134912490845,47452,10357,14.771200000000011,17.71832704494396,0.8336678718330278,8.523593484206117
8,90,2.0,2.0,2.9801390171051025,2822,510,14.166400000000007,19.9578363110556,0.7098164239453432,8.169406260832694
8,180,2.0,2.0,14.579553127288818,11404,3537,11.976000000000006,13.033791206579167,0.9188424005100518,8.211151722753161
9,15,0.5,0.5,147.05244493484497,10120,1448,7.200000000000003,11.914947057235718,0.6042830039792398,5.101270945212533
9,30,0.5,0.5,24.126338720321655,2909,239,8.948800000000002,12.093557746679917,0.7399642179289007,4.148911962397218
9,45,1.0,1.0,20.868472814559937,8120,1214,12.201600000000003,16.73801892471195,0.728975158582573,10.078308109435678
9,60,1.0,1.0,25.5757098197937,9902,1704,12.905600000000003,17.223898211569978,0.7492845023509718,7.5545341350980975
9,90,2.0,2.0,9.903812885284424,7862,1846,11.422400000000007,15.77317254705058,0.7241662998314108,6.425944665597614
9,180,2.0,2.0,0.5996296405792236,878,239,9.356800000000003,12.247878000241563,0.763952743472417,5.9455124083299165
